Organization Name,Description,Parent Organization,Status,Contact Name,Contact Email,Industry,Technologies,Website URL,Phone Number,Country,State,City,Address 1,Address 2,Currency,Language,ZIP or Postal Code,TAX ID,VAT Number,Notes,Average Revenue,Cloud Vendor,Technology Vendor,System Vendor,Service Vendor
ABC Legal Services,Legal Services,,,,"{demouser04}",,,,,,,,,,,,,,,,,NO,YES,YES,YES
Accuzip,All in one postal software and data cleansing solution.,,Active,,"{demouser04}",,,https://www.accuzip.com/,805.461.7300,United States,Texas,League City,"2450 South Shore Blvd, Suite 125",,Dollars,English,77573-2996,,,,,NO,NO,YES,NO
Adobe,Adobe Creative Cloud Suite,,Active,,"{demouser04}",,,,,United States,California,San Jose,45 Park Avenue,,Dollars,English,95110-2704,,,,,YES,NO,YES,YES
AEGI Forensics,"Applications Engineering Group, Inc., is a forensic science/engineering firm, which provides unbiased scientific investigations.",,Active,,"{demouser04}",,,https://www.aegiforensics.com/,800-777-7668,United States,Florida,Atlantic Beach,1200 Mayport Road,,Dollars,English,32233,,,,,YES,NO,YES,NO
Alpine Bank,"Alpine Bank provides money-saving products, including competitive CD rates, checking accounts, and savings accounts.",,Active,,"{demouser04}",,,https://www.alpinebank.com/,800-551-6098,United States,Colorado,Glenwood Springs,2200 Grand Avenue,,Dollars,English,81601,,,,,NO,NO,YES,NO
Amazon,Cloud Service Provider,,Active,,"{demouser04}",,AWS,www.amazon.com,(206) 266-1000,United States,Washington,Seattle,"410 Terry Ave N, ",,Dollars,English,98109,,,,,YES,YES,NO,YES
American Agricultural Insurance Company (AAIC),Insurance Company,,Active,,"{demouser04}",,,https://www.aaic.com/,,United States,Illinois,Schaumburg,1501 Woodfield Rd #300w,,Dollars,English,60173,,,,,YES,NO,YES,NO
American Leak Detection,Leak detection specialists,,Active,,"{demouser04}",,,https://www.americanleakdetection.com/,(866) 701-5306,United States,,,,,Dollars,English,,,,,,YES,NO,YES,NO
"Arbitration Forums, Inc.","Arbitration Forums, Inc. is a membership-driven, not-for-profit organization that exists to effectively and efficiently serve its over 5,000 members' recovery and resolution needs. AF is the nation's largest arbitration and subrogation services provider.",,Active,,"{demouser04}",,,https://home.arbfile.org/,1-866-977-3434,United States,Florida,Tampa,"Arbitration Forums, Inc. 3820 Northdale Boulevard, Suite 200A",,Dollars,English,33624,,,,,YES,NO,YES,NO
Arisant ,Vendor manages Databases,,,,"{demouser04}",,,,,,,,,,,,,,,,,NO,NO,YES,YES
ASG Technologies,Digital Content Management,,,,"{demouser04}",Information,,www.asg.com,,United States,,,,,,,,,,,,NO,NO,YES,NO
Bank of America,The Bank of America Corporation is an American multinational investment bank and financial services company.,,Active,,"{demouser01}",,,https://www.bankofamerica.com/,1 (800) 432-1000,United States,North Carolina,Charlotte,100 N Tryon St,,Dollars,English,28202,,,,,NO,NO,YES,NO
Bank of Colorado,"Bank of Colorado serving Colorado with checking and business banking, mortgages, commercial banking, auto loans, credit cards, investing & retirement.",,Active,,"{demouser01}",,,https://www.bankofcolorado.com/,,United States,Colorado,Fort Collins,1609 East Harmony Road,,Dollars,English,80525,,,,,NO,NO,YES,NO
Carfax,A commercial web-based service that supplies vehicle history reports to individuals and businesses on used cars and light trucks for the American and Canadian consumers.,,Active,,"{demouser01}",,,https://www.carfax.com/,(703) 934-2664,United States,Virginia,Centreville,5860 Trinity Parkway Suite 600,,Dollars,English,20120,,,,,NO,NO,YES,NO
Cisco,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, telecommunications equipment and other high-technology services and products.",,Active,,"{demouser01}",,,,,United States,California,San Jose,170 West Tasman Dr.,,Dollars,English,95134,,,,,NO,NO,YES,NO
Citrix Systems Inc.,"Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service (SaaS), and cloud computing technologies.",,Active,,"{demouser01}",,,,,United States,California,Santa Clara,,,Dollars,English,,,,,,NO,NO,YES,NO
Cyber Innovative Technologies,Cyber Risk Management Software,,Active,,"{demouser01}",Information,,New York,9292170318,United States,New York,,555 Madison Ave,5TH FLOOR,Dollars,English,10022,,,,,YES,NO,YES,NO
Cyber Intelligence 4U,Cyber Education,,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,NO,YES
Department of Homeland Security ( DHS ),E-Verify is a web-based system that allows enrolled employers to confirm the eligibility of their employees to work in the United States.,,Active,,"{demouser01}",,,https://www.e-verify.gov,,United States,,,,,Dollars,English,,,,,,YES,NO,YES,NO
Department of the Treasury,The Department of the Treasury is the national treasury and finance department of the federal government of the United States where it serves as an executive department.,,Active,,"{demouser01}",,,,,United States,District of Columbia,Washington,1500 Pennsylvania Ave NW,,Dollars,English,20220,,,,,NO,NO,YES,NO
Elixir (formerly Envision Rx),Elixir is a pharmacy benefits and services company. ,,Active,,"{demouser01}",,,www.envisionrx.com/,,United States,Ohio,Twinsburg,2181 E Aurora Rd #201,,Dollars,English,44087,,,,,YES,YES,NO,NO
Farm Bureau Bank,"Farm Bureau Bank FSB is a service-to-member institution which provides banking services including checking accounts, savings accounts, mortgages, credit cards, business loans and much more to Farm Bureau members and others in participating states.",,Active,,"{demouser01}",,,,,United States,Nevada,Sparks,"2165 Green Vista Drive, Suite 204",,Dollars,English,89431,,,,,YES,NO,YES,NO
Geohazards,Geohazards is a consulting firm specializing in engineering and geology with a commitment to personalized service.,,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,YES,NO
Health Equity,"HealthEquity, Inc. is an American financial technology and business services company that is designated as a non-bank health savings trustee by the IRS.",,,,"{demouser01}",,,,,,,,,,,,,,,,,YES,NO,YES,NO
Heartland Financial,"Heartland Financial USA, Inc. (Heartland), incorporated on June 18, 1993, is a diversified financial services company engaged in providing banking, mortgage etc.",,Active,,"{demouser01}",,,,563.589.2100,United States,Iowa,Dubuque,"Heartland Financial USA, Inc. 1398 Central Avenue P.O. Box 778",,Dollars,English,52001,,,,,NO,NO,YES,NO
HM Health Solutions (HMHS),HM Health Solutions (HMHS) delivers business solutions to health plan payers so they can run their organizations more efficiently.,,Active,,"{demouser01}",,,,,United States,Pennsylvania,Pittsburgh,120 Fifth Ave,,Dollars,English,15222,,,,,YES,NO,YES,NO
IBM,,,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,YES,NO
Information Providers,"Information Providers, Inc. is a leading provider of Property & Casualty and Premium Audit information services, serving insurance companies throughout our multi-regional coverage area.",,,,"{demouser01}",,,33 10th Ave S #301,,United States,Minnesota,Hopkins,,,,,55343,,,,,YES,NO,YES,NO
Insurance Notification Clearinghouse Services,Insurance Notification Clearinghouse Services is an automated clearinghouse that uses electronic data interchange (EDI) to streamline the exchange of information.,,Active,,"{demouser01}",,,,1-608-421-6286,United States,,,,,Dollars,English,,,,,,NO,NO,YES,NO
Insurance Services Office (ISO),"Insurance Services Office, Inc., a subsidiary of Verisk Analytics, is a provider of statistical, actuarial, underwriting, and claims information and analytics; compliance and fraud identification tools; policy language; information about specific locations; and technical services.",,Active,,"{demouser01}",,,,,United States,New Jersey,Jersey City,,,Dollars,English,,,,,,NO,NO,YES,NO
Johnson Controls,"Johnson Controls provides a portfolio of building products, technologies, software, and services that transforms the environment of safer, sustainable, and more efficient buildings.",,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,YES,NO
JS Investigations,"JS Investigations is a highly experienced and competitively priced investigation company based in Brisbane. With more than 15 years' experience conducting an extensive range of covert investigations, JS Investigations has a strong track record helping clients obtain the evidence and results they need.",,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,YES,NO
KPMG,"KPMG US, headquartered in New York City, is an accounting and professional services firm specializing in providing audit, tax, and advisory solutions.",,,,"{demouser01}",,,,,,,,,,,,,,,,,NO,NO,NO,YES
Lexis Nexis,LexisNexis is a corporation providing computer-assisted legal research as well as business research and risk management services.,,,,"{demouser03}",Information,,https://www.lexisnexis.com/en-us/gateway.page,,United States,New York,New York,,,,,,,,,,NO,NO,NO,YES
Lyons Commercial Data,Lyons Commercial Data is a leading provider of U.S. financial institution data.,,Active,,"{demouser03}",,,,,United States,Florida,Jacksonville,12276 San Jose Blvd #624,,Dollars,English,32223,,,,,NO,NO,YES,NO
Mad Genius,Hosting Reseller,,,,"{demouser03}",,,,,,,,,,,,,,,,,YES,YES,NO,NO
Madrid Engineering Group,"The Academy of Geo-Professionals, founded in 2008, is an elite group comprised of over 300 Diplomates who have gone through many years of training.",,Active,,"{demouser03}",,,madridengineering.com,(863) 533-9007,United States,Florida,Bartow,2030 FL-60,,Dollars,English,33830,,,,,NO,NO,NO,YES
Merrill,"Merrill, previously branded Merrill Lynch, is an American investment management and wealth management division of Bank of America. Along with BofA Securities, the investment banking arm, both firms engage in prime brokerage and broker-dealer activities.",,,,"{demouser03}",,,,,,,,,,,,,,,,,NO,NO,YES,NO
Microsoft,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and related services.",,Active,,"{demouser03}",,,,,United States,Washington,Redmond,One Redmond Way,,Dollars,English,98052,,,,,YES,NO,YES,NO
Morgan Stanley,Morgan Stanley is an American corporation traded on the New York Stock Exchange and engaged in investment banking and financial services.,,Active,,"{demouser03}",,,,,United States,New York,New York,1585 Broadway,,Dollars,English,10036,,,,,NO,NO,YES,NO
