Security Requirement Code,Security Requirement Program Area,Assessment Level Name,Security Requirement Description,Security Control Family,Security Control Name,Detailed Control Testing Procedure,Risk Statement Examples,Guidelines
R0001,Protect -> Access Control,Org,"1) Is there a documented access control policy or standard that provides guidance regarding criteria for granting access? 
2) Is the policy communicated to administrators and data / application owners for controlling access to information systems?
3) Is the policy or standard reviewed and if needed, updated on a scheduled basis? ",Access Control,Access Control Policy And Procedures,"Obtain access control policy and procedures; other relevant documents or records and ascertain if
(I) the organization develops and documents access control policy and procedures;
(ii) the organization disseminates access control policy and procedures to appropriate elements within the organization;
(iii) responsible parties within the organization periodically review access control policy and procedures; and
(iv) the organization updates access control policy and procedures when organizational review indicates updates are required.","Access provided is not consistent with job function as Access Control Policy is not documented, communicated, and understood.","A.11.6.1,ID.GV-1,A.11.7.1,A.11.7.2,A.12.3.2,A.10.1.1,PR.AC-1,AP013.01.1,A.10.8.1,AP013.01.2,A.15.1.1,AP013.01.3,AP013.01.4,AP013.01.5,AP013.01.6,AP013.01.7,A.5.1.1,ISM.1.1,A.15.2.1,ISM.1.2,A.5.1.2,A.6.1.1,9.3.1.1 (a),A.6.1.2,9.3.1.1 (b),A.6.1.3,A.11.1.1,A.11.3.3,A.11.4.1,A.8.1.1"
R0002,Protect -> Access Control,System,"(1) Are there processes in place to ensure access provided to users (e.g., the role provided to a user for an application, or privileged access provided to an IT administrator, etc.) aligns with business requirements and/or access control policy?
[Note: an example could be documented approval from asset/business owner, timely removal of access from transferred or terminated employees, etc.].
(2) Is the access control process automated (in part or completely)? 
(3) Is the access control process manual (in part or completely)?",Access Control,Account Management,"Obtain access control policy; procedures addressing account management; security plan; list of active system accounts along with the name of the individual associated with each account; lists of recently transferred, separated, or terminated employees; list of recently disabled information system accounts along with the name of the individual associated with each account; system-generated records with user IDs and last login date; other relevant documents or records and ascertain if
(I) the organization manages information system accounts, including authorizing, establishing, activating, modifying, reviewing, disabling, and removing accounts;
(ii) the organization defines in the security plan, explicitly or by reference, the frequency of information system account reviews and the frequency is at least annually;
(iii) the organization reviews information system accounts in accordance with organization-defined frequency; and
(iv) the organization initiates required actions on information system accounts based on the review.
(v) determine if the organization employs automated mechanisms to support information system account management functions.
(vi) the organization defines in the security plan, explicitly or by reference, a time period for each type of account after which the information system terminates temporary and emergency accounts; and
(vii) the information system automatically terminates temporary and emergency accounts after organization-defined time period for each type of account.
(viii) the organization defines in the security plan, explicitly or by reference, a time period after which the information system disables inactive accounts; and
(ix) the information system automatically disables inactive accounts after organization-defined time period.
(x) the organization employs automated mechanisms to audit account creation, modification, disabling, and termination actions; and
(xi) the organization employs automated mechanisms to notify, as required, appropriate individuals.",Unauthorized access is gained to information systems.,"AC-2,A.11.5.2,A.8.3.3,A.11.5.5,A.11.5.6,ISM.1.1,ISM.1.2,9.3.1.2 (a),9.3.1.2 (b),9.3.1.2 (c),9.3.1.2 (d),A.11.2.1,9.3.1.2 (e),A.11.2.2,9.3.1.2 (f),PR.AC-1,9.3.1.2 (g),A.11.2.4,9.3.1.2 (h),PR.AC-4,9.3.1.2 (j),9.3.1.2 (k)"
R0003,Protect,System,"(1) Are information systems (applications, operating systems, network devices, databases, etc.) configured to employ access enforcement mechanisms? (2) Are access enforcement mechanisms employed per approved policy? (3) Does the access enforcement mechanism provide protection from unauthorized access (malicious users, software, systems, etc.)?",Access Control,Access Enforcement,"Obtain access control policy; procedures addressing access enforcement; information system configuration settings and associated documentation; list of assigned authorizations (user privileges); information system audit records; other relevant documents or records and ascertain if
(I) the information system enforces assigned authorizations for controlling access to the system in accordance with applicable policy; and
(ii) user privileges on the information system are consistent with the documented user authorizations.",Unauthorized access is gained to information systems.,"A.10.7.3,A.10.7.4,A.10.8.1,A.11.5.4,A.11.6.1,A.15.1.3,A.10.9.1,A.10.9.2,ISM.1.1,A.10.9.3,ISM.1.2,A.11.2.2,A.12.4.3,PR.PT-3,PR.AC-4,9.3.1.3 (a),A.7.2.2,A.10.6.1"
R0004,Protect -> Access Control,System,"The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].                                                                                                                                                                                                                                                                              Control Enhancements                                                                                                                                                                                                                                              (21) INFORMATION FLOW ENFORCEMENT | PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS
The information system separates information flows logically or physically using [Assignment:
organization-defined mechanisms and/or techniques] to accomplish [Assignment: organizationdefined
required separations by types of information].",Access Control,Access Enforcement,"Obtain access control policy; procedures addressing access enforcement; information system configuration settings and associated documentation; list of assigned authorizations (user privileges); information system audit records; other relevant documents or records and ascertain if
(I) the information system enforces assigned authorizations for controlling access to the system in accordance with applicable policy; and
(ii) user privileges on the information system are consistent with the documented user authorizations.",Misconfigured access controls provide unauthorized access to information held in application systems.,"A.10.7.3,A.10.8.1,PR.PT-3,PR.AC-4,A.12.5.4,9.3.1.3 (a),A.7.2.2,9.3.1.4,A.11.4.5,A.11.4.7"
R0005,Protect -> Access Control,Org,"The organization:
a. Separates [Assignment: organization-defined duties of individuals];
b. Documents separation of duties of individuals; and
c. Defines information system access authorizations to support separation of duties.",Access Control,Separation Of Duties,"Obtain access control policy; procedures addressing divisions of responsibility and separation of duties; information system configuration settings and associated documentation; list of divisions of responsibility and separation of duties; information system audit records; other relevant documents or records and ascertain if
(I) the organization establishes appropriate divisions of responsibility and separates duties as needed to eliminate conflicts of interest in the responsibilities and duties of individuals; and
(ii) the information system enforces separation of duties through assigned access authorizations.",The lack of user segregation of duties may result in unauthorized or unintentional modification or misuse of the organization's information assets.,"A.10.1.3,PR.AC-4,PR.AC-5,9.3.1.5 (a),9.3.1.5 (b),9.3.1.5 (c)"
R0006,Protect - Account Management,System,"""The organization employs the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.

Control Enhancement:
(1) LEAST PRIVILEGE | AUTHORIZE ACCESS TO SECURITY FUNCTIONS
The organization explicitly authorizes access to [Assignment: organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information].
(2) LEAST PRIVILEGE | NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS
The organization requires that users of information system accounts, or roles, with access to [Assignment: organization-defined security functions or security-relevant information], use non-privileged accounts or roles, when accessing non-security functions.
(5) LEAST PRIVILEGE | PRIVILEGED ACCOUNTS
The organization restricts privileged accounts on the information system to [Assignment: organization-defined personnel or roles].
(9) LEAST PRIVILEGE | AUDITING USE OF PRIVILEGED FUNCTIONS
The information system audits the execution of privileged functions.
(10) LEAST PRIVILEGE | PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS
The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.""",Access Control,Least Privilege,"""Obtain access control policy; procedures addressing least privilege; list of assigned access authorizations (user privileges); information system configuration settings and associated documentation; information system audit records; other relevant documents or records and ascertain if
(I) the organization assigns the most restrictive set of rights/privileges or accesses needed by users for the performance of specified tasks; and
(ii) the information system enforces the most restrictive set of rights/privileges or accesses needed by users.""",Information in applications is accessed by users and support personnel outside of defined business requirements.,"9.3.1.6 (a),7.2.3,9.3.1.6 (b),9.3.1.6 (c),9.3.1.6 (d),A.11.5.4,9.3.1.6 (e),9.3.1.6 (f),A.11.6.1,A.11.2.2,A.12.4.3,PR.AC-4,A.11.4.1,7.1.1,7.1.2,A.11.4.4,7.1.3,7.1.4,7.2.1,7.2.2"
R0007,Protect -> System Configuration Hardening & Patch Management,System,"""The information system:
a. Enforces a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and
b. Automatically [Selection: locks the account/node for an [Assignment: organization-defined time period]; locks the account/node until released by an administrator; delays next logon prompt according to [Assignment: organization-defined delay algorithm]] when the maximum number of unsuccessful attempts is exceeded.""",Access Control,Unsuccessful Logon Attempts,"""Obtain access control policy; procedures addressing unsuccessful logon attempts; security plan; information system configuration settings and associated documentation; information system audit records; other relevant documents or records and ascertain if
(I) the organization defines in the security plan, explicitly or by reference, the maximum number of consecutive invalid access attempts to the information system by a user and the time period in which the consecutive invalid access attempts occur;
(ii) the information system enforces the organization-defined limit of consecutive invalid access attempts by a user during the organization-defined time period;
(iii) the organization defines in the security plan, explicitly or by reference, the time period for lock out mode or delay period;
(iv) the organization selects either a lock out mode for the organization-defined time period or delays next login prompt for the organization-defined delay period for information system responses to consecutive invalid access attempts;
(v) the information system enforces the organization-selected lock out mode or delayed login prompt.""",Unauthorized access is gained to operating systems.,"A.11.5.1,9.3.1.7 (a),9.3.1.7 (b)"
R0008,Protect -> Identification & Authentication,System,"""The information system:
a. Displays to users [Assignment: organization-defined system use notification message or banner] before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that:
1. Users are accessing a U.S. Government information system;
2. Information system usage may be monitored, recorded, and subject to audit;
3. Unauthorized use of the information system is prohibited and subject to criminal and civil penalties; and
4. Use of the information system indicates consent to monitoring and recording;
b. Retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system; and
c. For publicly accessible systems:
1. Displays system use information [Assignment: organization-defined conditions], before granting further access;
2. Displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and
3. Includes a description of the authorized uses of the system.""",Access Control,System Use Notification,"""Obtain access control policy; privacy and security policies; procedures addressing system use notification; information system notification messages; information system configuration settings and associated documentation; other relevant documents or records and ascertain if
(I) the information system displays a system use notification message before granting system access informing potential users:
- that the user is accessing a U.S. Government information system;
- that system usage may be monitored, recorded, and subject to audit;
- that unauthorized use of the system is prohibited and subject to criminal and
civil penalties; and
- that use of the system indicates consent to monitoring and recording;
(ii) the system use notification message provides appropriate privacy and security notices (based on associated privacy and security policies or summaries);
(iii) the organization approves the information system use notification message before its use; and
(iv) the system use notification message remains on the screen until the user takes explicit actions to log on to the information system.""",Unauthorized users log on to information systems.,"A.11.5.1,A.6.2.2,9.3.1.8 (a),A.15.1.5,9.3.1.8 (b),9.3.1.8 (c),9.3.1.8 (d),9.3.1.8 (e)"
R0009,Protect>information & Authentication,System,"""Control: The information system:
a. Prevents further access to the system by initiating a session lock after [Assignment:
organization-defined time period] of inactivity or upon receiving a request from a user; and
b. Retains the session lock until the user reestablishes access using established identification and
authentication procedures.""",Access Control,Concurrent Session Lock,"""Obtain access control policy; procedures addressing session lock; information system design documentation; information system configuration settings and associated documentation; security plan; other relevant documents or records and ascertain if
(I) the organization defines in the security plan, explicitly or by reference, the time period of user inactivity after which the information system initiates a session lock;
(ii) the information system initiates a session lock after the organization-defined time period of inactivity;
(iii) the information system provides the capability for users to directly initiate session lock mechanisms; and
(iv) the information system maintains the session lock until the user reestablishes access using appropriate identification and authentication procedures.""",Does not enforce a session lock,"9.3.1.9 (a),9.3.1.9 (b)"
R0010,Protect -> Account Management,System,"""The information system:
a. Prevents further access to the system by initiating a session lock after [Assignment: organization-defined time period] of inactivity or upon receiving a request from a user; and
b. Retains the session lock until the user reestablishes access using established identification and authentication procedures.

Control Enhancement:
(1) SESSION LOCK | PATTERN-HIDING DISPLAYS
The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.""",Access Control,Session Lock,"""Obtain access control policy; procedures addressing session lock; information system design documentation; information system configuration settings and associated documentation; security plan; other relevant documents or records and ascertain if
(I) the organization defines in the security plan, explicitly or by reference, the time period of user inactivity after which the information system initiates a session lock;
(ii) the information system initiates a session lock after the organization-defined time period of inactivity;
(iii) the information system provides the capability for users to directly initiate session lock mechanisms; and
(iv) the information system maintains the session lock until the user reestablishes access using appropriate identification and authentication procedures.""",Unauthorized users access operating systems by physically or logically accessing valid inactive and/or unattended sessions.,"A.11.5.5,A.11.3.2,A.11.3.3,9.3.1.9 (a),9.3.1.9 (b)"
