Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
OIRP:01,1.1 - How many total number of Internet service provider (ISP) connections (including branch connections) are there?,5,No connections,2,Organization,FFIEC CAT Inherent Risk,1,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,Minimal complexity (1-20 connections),4,,,,,,,,,,,,,,,
,,,Moderate complexity (21-100 connections),6,,,,,,,,,,,,,,,
,,,Significant complexity (101-200 connections),8,,,,,,,,,,,,,,,
,,,Substantial complexity (>200 connections),10,,,,,,,,,,,,,,,
OIRP:02,"1.2 - Do you have any unsecured external connections, number of connections not users (e.g., file transfer protocol (FTP), Telnet, rlogin)?",5,None,2,Organization,FFIEC CAT Inherent Risk,2,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,Few instances of unsecured connections (1-5),4,,,,,,,,,,,,,,,
,,,Several instances of unsecured connections (6-10),6,,,,,,,,,,,,,,,
,,,Significant instances of unsecured connections (11-25),8,,,,,,,,,,,,,,,
,,,Substantial instances of unsecured connections (>25),10,,,,,,,,,,,,,,,
OIRP:03,1.3 - How is wireless network access set up?,5,No wireless access,2,Organization,FFIEC CAT Inherent Risk,3,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,Separate access points for guest wireless and corporate wireless,4,,,,,,,,,,,,,,,
,,,Guest and corporate wireless network access are logically separated; limited number of users and access points (1-250 users; 1-25 access points),6,,,,,,,,,,,,,,,
,,,"Wireless corporate network access; significant number of users and access points (251-1,000 users; 26-100 access points)",8,,,,,,,,,,,,,,,
,,,"Wireless corporate network access; all employees have access; substantial number of access points (>1,000 users; >100 access points)",10,,,,,,,,,,,,,,,
OIRP:04,1.4 - How many personal device types are allowed to connect to the corporate network?,5,None,2,Organization,FFIEC CAT Inherent Risk,4,NO,,,Technologies and Connection Types,NO,NO,NO,NO,NO,NO,YES,YES
,,,"Only one device type available; available to <5% of employees (staff, executives, managers); e-mail access only",4,,,,,,,,,,,,,,,
