Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:001,Are designated members of management held accountable by the board or an appropriate board committee for implementing and managing the information security and business continuity programs?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,1,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:002,Are information security risks discussed in management meetings when prompted by highly visible cyber events or regulatory alerts?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,2,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:003,Does management provide a written report on the overall status of the information security and business continuity programs to the board or an appropriate board committee at least annually?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,3,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:004,Does the budgeting process include information security related expenses and tools?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,4,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:005,"Does management consider the risks posed by other critical infrastructures (e.g., telecommunications, energy) to the institution.?",1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,5,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:006,Does the board or an appropriate board committee review and approve the institution's cybersecurity program at least annually?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,6,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:007,Is management responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,7,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:008,Are Cybersecurity tools and staff requested through the budget process?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,8,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
