Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
CSMAT:1,What level of cybersecurity governance maturity does your organization have?,5,None,1,Organization,Cybersecurity Maturity,1,NO,"Cybersecurity governance maturity ranges from None, IT Involvement, BU Involvement, Information Technology and Business Unit Involvement to Board Involvement. The more senior management involved the more mature governance the firm has.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,IT Involvement,2,,,,,
"",,,BU Involvement,3,,,,,
"",,,IT and BU  Involvement,4,,,,,
"",,,Board Involvement,5,,,,,
CSMAT:2,What level of cyber risk reporting maturity does your organization have?,5,None,1,Organization,Cybersecurity Maturity,2,NO,"Reporting cyber risk can be nonexistent, elementary with spreadsheets from Information Technology , or spreadsheets that are Business Unit focused, elevating to integrated data driven reporting and up to integration with the Enterprise Risk Management systems.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,IT focused Spreadsheets,2,,,,,
"",,,BU Focused Spreadsheets,3,,,,,
"",,,Data Driven (integrated),4,,,,,
"",,,Highly Data Driven (integrated),5,,,,,
CSMAT:3,What level of cyber risk management focus does your organization have?,5,None,1,Organization,Cybersecurity Maturity,3,NO,"Most companies start with vulnerabilities, move up to incident focus and then integrate cyber risk and Enterprise Risk Management (ERM).",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Vulnerability Focused,2,,,,,
"",,,"Audit, Incident Focused, some risk",3,,,,,
"",,,Some integrated Cyber Risk Management,4,,,,,
"",,,Cyber Integrated with ERM,5,,,,,
CSMAT:4,What level of CISO reporting structure does your organization have?,5,No CISO,1,Organization,Cybersecurity Maturity,4,NO,"Most reporting is to the CIO, however as more roles are added the reporting shifts to COO, CFO or CRO and finally at the board level.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Reports to CIO,2,,,,,
"",,,Reports to COO or CFO,3,,,,,
"",,,Reports to CRO,4,,,,,
"",,,Reports to Board,5,,,,,
CSMAT:5,What level of cybersecurity investments does your organization have?,5,Minimal,1,Organization,Cybersecurity Maturity,5,NO,"Companies invest to relieve their pain points.  The first hint of pain is from the compliance team, which moves to a more incident focused maturity, to an audit maturity and then to an integration focus.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Compliance Focused,2,,,,,
"",,,Incident Response Focused,3,,,,,
"",,,Audit Focused,4,,,,,
"",,,Integration Focused,5,,,,,
CSMAT:6,What level of cybersecurity strategy does your organization have?,5,None,1,Organization,Cybersecurity Maturity,6,NO,"Companies start with a network focused stretch and then add layered tools, advancing into threat intelligence and business process automation coupled with AI.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Basic Network Focus,2,,,,,
"",,,Layered Tools,3,,,,,
"",,,Threat Intelligence,4,,,,,
"",,,"AI, Business Process Automation",5,,,,,
CSMAT:7,What level of cybersecurity team members does your organization have?,5,None,1,Organization,Cybersecurity Maturity,7,NO,"Pen testing is where most companies begin the level of skills with their teams, moving to vulnerability scanning, then Security Operations team skills, afterwards supplementing their teams from outside specialty services and then bringing that skill set back in house.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Vulnerability Focused Only - Pen testing,2,,,,,
"",,,Vulnerability Focused - Pen testing and SOC Team,3,,,,,
"",,,Previous level with outsourced specialty teams,4,,,,,
"",,,Previous level with teams moving back inhouse for specialty services,5,,,,,
CSMAT:8,What level of cybersecurity tools does your organization have?,5,Level 1: None,1,Organization,Cybersecurity Maturity,8,NO,"Firewalls, IDS and VMS are the first tools implemented, followed by SIEM, the SOC team (bule, red) and integrated with Cyber Risk tools.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,"Level 2: Firewalls, IDS, some VMS",2,,,,,
"",,,Level 3: Level 2 + some SIEM,3,,,,,
"",,,Level 4: Level 3 + outsourced SOC,4,,,,,
"",,,Level 5: All tools,5,,,,,
CSMAT:9,What level of vendor cyber risk management program does your organization have?,5,None,1,Organization,Cybersecurity Maturity,9,NO,"Companies start with excel, add macros, then move to a Third Party Risk Management (TPRM) application and lastly integrate it with security tools.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Excel Spreadsheets,2,,,,,
"",,,Excel Macros,3,,,,,
"",,,Vendor risk applications,4,,,,,
"",,,Vendor risk applications Integrated with cybersecurity tools,5,,,,,
CSMAT:10,What level of cybersecurity decision making does your organization have?,5,None,1,Organization,Cybersecurity Maturity,10,NO,"Cybersecurity decision making starts with a single manager, moves to a C-Level sign off, and then multiple C Level signoffs and lastly to the board.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,Single Manager,2,,,,,
"",,,Single C-level,3,,,,,
"",,,C-Level +,4,,,,,
"",,,Board,5,,,,,
CSMAT:11,What type of cybersecurity lead does your organization have?,5,None,1,Organization,Cybersecurity Maturity,11,NO,"Most companies begin their cyber security team with an IT person, then move into having a compliance manager in place, followed by a security manager and ultimately a CISO.",,,NO,NO,NO,NO,NO,NO,NO,YES
"",,,IT Person,2,,,,,
"",,,Compliance Manager,3,,,,,
"",,,Security Manager,4,,,,,
