Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
A.5,A.5,,A.5.1,A.5.1,,A.5.1.1,A.5.1.1,Information security policy document
A.5,A.5,,A.5.1,A.5.1,,A.5.1.2,A.5.1.2,Review of the information security policy
A.6,A.6,,A.6.1,A.6.1,,A.6.1.1,A.6.1.1,Management commitment to information security
A.6,A.6,,A.6.1,A.6.1,,A.6.1.2,A.6.1.2,Information security coordination
A.6,A.6,,A.6.1,A.6.1,,A.6.1.3,A.6.1.3,Allocation of information security responsibilities
A.6,A.6,,A.6.1,A.6.1,,A.6.1.4,A.6.1.4,Authorisation process for information processing facilities
A.6,A.6,,A.6.1,A.6.1,,A.6.1.5,A.6.1.5,Confidentiality agreements
A.6,A.6,,A.6.1,A.6.1,,A.6.1.6,A.6.1.6,Contact with authorities
A.6,A.6,,A.6.1,A.6.1,,A.6.1.7,A.6.1.7,Contact with special interest groups
A.6,A.6,,A.6.1,A.6.1,,A.6.1.8,A.6.1.8,Independent review of information security
A.6,A.6,,A.6.2,A.6.2,,A.6.2.1,A.6.2.1,Identification of risks related to external parties
A.6,A.6,,A.6.2,A.6.2,,A.6.2.2,A.6.2.2,Addressing security when dealing with customers
A.6,A.6,,A.6.2,A.6.2,,A.6.2.3,A.6.2.3,Addressing security in third party agreements
A.7,A.7,,A.7.1,A.7.1,,A.7.1.1,A.7.1.1,Inventory of assets
A.7,A.7,,A.7.1,A.7.1,,A.7.1.2,A.7.1.2,Ownership of assets
A.7,A.7,,A.7.1,A.7.1,,A.7.1.3,A.7.1.3,Acceptable use of assets
A.7,A.7,,A.7.2,A.7.2,,A.7.2.1,A.7.2.1,Classification guidelines
A.7,A.7,,A.7.2,A.7.2,,A.7.2.2,A.7.2.2,Information labeling and handling
A.8,A.8,,A.8.1,A.8.1,,A.8.1.1,A.8.1.1,Roles and responsibilities
A.8,A.8,,A.8.1,A.8.1,,A.8.1.2,A.8.1.2,Screening
A.8,A.8,,A.8.1,A.8.1,,A.8.1.3,A.8.1.3,Terms and conditions of employment
A.8,A.8,,A.8.2,A.8.2,,A.8.2.1,A.8.2.1,Management responsibilities
A.8,A.8,,A.8.2,A.8.2,,A.8.2.2,A.8.2.2,"Information security awareness, education and training"
A.8,A.8,,A.8.2,A.8.2,,A.8.2.3,A.8.2.3,Disciplinary process
A.8,A.8,,A.8.3,A.8.3,,A.8.3.1,A.8.3.1,Termination responsibilities
A.8,A.8,,A.8.3,A.8.3,,A.8.3.2,A.8.3.2,Return of assets
A.8,A.8,,A.8.3,A.8.3,,A.8.3.3,A.8.3.3,Removal of access rights
A.9,A.9,,A.9.1,A.9.1,,A.9.1.1,A.9.1.1,Physical security perimeter
A.9,A.9,,A.9.1,A.9.1,,A.9.1.2,A.9.1.2,Physical entry controls
A.9,A.9,,A.9.1,A.9.1,,A.9.1.3,A.9.1.3,"Securing offices, rooms and facilities"
A.9,A.9,,A.9.1,A.9.1,,A.9.1.4,A.9.1.4,Protecting against external and environmental threats
A.9,A.9,,A.9.1,A.9.1,,A.9.1.5,A.9.1.5,Working in secure areas
A.9,A.9,,A.9.1,A.9.1,,A.9.1.6,A.9.1.6,"Public access, delivery and loading areas"
A.9,A.9,,A.9.2,A.9.2,,A.9.2.1,A.9.2.1,Equipment sitting and protection
A.9,A.9,,A.9.2,A.9.2,,A.9.2.2,A.9.2.2,Supporting utilities
A.9,A.9,,A.9.2,A.9.2,,A.9.2.3,A.9.2.3,Cabling security
A.9,A.9,,A.9.2,A.9.2,,A.9.2.4,A.9.2.4,Equipment maintenance
A.9,A.9,,A.9.2,A.9.2,,A.9.2.5,A.9.2.5,Security of equipment off-premises
A.9,A.9,,A.9.2,A.9.2,,A.9.2.6,A.9.2.6,Secure disposal or re-use of equipment
A.9,A.9,,A.9.2,A.9.2,,A.9.2.7,A.9.2.7,Removal of property
A.10,A.10,,A.10.1,A.10.1,,A.10.1.1,A.10.1.1,Documented operating procedures
A.10,A.10,,A.10.1,A.10.1,,A.10.1.2,A.10.1.2,Change management
A.10,A.10,,A.10.1,A.10.1,,A.10.1.3,A.10.1.3,Segregation of duties
A.10,A.10,,A.10.1,A.10.1,,A.10.1.4,A.10.1.4,"Separation of development, test and operational facilities"
A.10,A.10,,A.10.2,A.10.2,,A.10.2.1,A.10.2.1,Service delivery
A.10,A.10,,A.10.2,A.10.2,,A.10.2.3,A.10.2.3,Managing changes to third party services
A.10,A.10,,A.10.3,A.10.3,,A.10.3.1,A.10.3.1,Capacity management
A.10,A.10,,A.10.3,A.10.3,,A.10.3.2,A.10.3.2,System Acceptance
A.10,A.10,,A.10.4,A.10.4,,A.10.4.1,A.10.4.1,Controls against malicious code
A.10,A.10,,A.10.4,A.10.4,,A.10.4.2,A.10.4.2,Controls against mobile code
A.10,A.10,,A.10.5,A.10.5,,A.10.5.1,A.10.5.1,Information back-up
A.10,A.10,,A.10.6,A.10.6,,A.10.6.1,A.10.6.1,Network controls
A.10,A.10,,A.10.6,A.10.6,,A.10.6.2,A.10.6.2,Security of network services
A.10,A.10,,A.10.7,A.10.7,,A.10.7.1,A.10.7.1,Management of removable media
A.10,A.10,,A.10.7,A.10.7,,A.10.7.2,A.10.7.2,Disposal of Media
A.10,A.10,,A.10.7,A.10.7,,A.10.7.3,A.10.7.3,Information Handling procedures
A.10,A.10,,A.10.7,A.10.7,,A.10.7.4,A.10.7.4,Security of system documentation
A.10,A.10,,A.10.8,A.10.8,,A.10.8.1,A.10.8.1,Information exchange policies and procedures
A.10,A.10,,A.10.8,A.10.8,,A.10.8.2,A.10.8.2,Exchange agreements
