Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
DE,Detect,"800-137. Information Security Continuous Monitoring (ISCM) for Federal Information Systems and Organizations  
1800-7. Situational Awareness for Electric Utilities
Develop and implement the appropriate activities to identify the occurrence of a cybersecurity event.",DE.AE,Anomalies and Events,Anomalous activity is detected in a timely manner and the potential impact of events is understood.,DE.AE-1,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed
DE,Detect,,DE.AE,,,DE.AE-2,DE.AE-2,Detected events are analyzed to understand attack targets and methods
DE,Detect,,DE.AE,,,DE.AE-3,DE.AE-3,Event data are aggregated and correlated from multiple sources and sensors
DE,Detect,,DE.AE,,,DE.AE-4,DE.AE-4,Impact of events is determined
DE,Detect,,DE.AE,,,DE.AE-5,DE.AE-5,Incident alert thresholds are established
DE,Detect,,DE.CM,Security Continuous Monitoring,The information system and assets are monitored at discrete intervals to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-1,DE.CM-1,The network is monitored to detect potential cybersecurity events
DE,Detect,,DE.CM,,,DE.CM-2,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events
DE,Detect,,DE.CM,,,DE.CM-3,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events
DE,Detect,,DE.CM,,,DE.CM-4,DE.CM-4,Malicious code is detected
DE,Detect,,DE.CM,,,DE.CM-5,DE.CM-5,Unauthorized mobile code is detected
DE,Detect,,DE.CM,,,DE.CM-6,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events
DE,Detect,,DE.CM,,,DE.CM-7,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed"
DE,Detect,,DE.CM,,,DE.CM-8,DE.CM-8,Vulnerability scans are performed
DE,Detect,,DE.DP,Detection Processes,Detection processes and procedures are maintained and tested to ensure timely and adequate awareness of anomalous events.,DE.DP-1,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability
DE,Detect,,DE.DP,,,DE.DP-2,DE.DP-2,Detection activities comply with all applicable requirements
DE,Detect,,DE.DP,,,DE.DP-3,DE.DP-3,Detection processes are tested
DE,Detect,,DE.DP,,,DE.DP-4,DE.DP-4,Event detection information is communicated to appropriate parties
DE,Detect,,DE.DP,,,DE.DP-5,DE.DP-5,Detection processes are continuously improved
ID,Identify,"800-100. Information Security Handbook: A Guide for Managers
800-35. Guide to Information Technology Security Services
800-39. Managing Information Security Risk: Organization, Mission, and Information System View",ID.AM,Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",ID.AM-1,ID.AM-1,Physical devices and systems within the organization are inventoried
ID,Identify,,ID.AM,,,ID.AM-2,ID.AM-2,Software platforms and applications within the organization are inventoried
ID,Identify,,ID.AM,,,ID.AM-3,ID.AM-3,Organizational communication and data flows are mapped
ID,Identify,,ID.AM,,,ID.AM-4,ID.AM-4,External information systems are catalogued
