Function Code,Function Name,Function Description,Control Test Code,Control Test Name,Control Test Description,Guideline Code,Guideline Name,Guideline Description
9.3.1,Access Control,,9.3.1.1,Access Control Policy and Procedures (AC-1),,9.3.1.1 (a),9.3.1.1 (a),"The agency must Develop, document, and disseminate to designated agency officials (1) An access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance (2) Procedures to facilitate the implementation of the access control policy and associated access controls "
9.3.1,Access Control,,9.3.1.1,Access Control Policy and Procedures (AC-1),,9.3.1.1 (b),9.3.1.1 (b),The agency must Review and update the current (1) Access control policy every three years (or if there is a significant change) (2) Access control procedures at least annually
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (a),9.3.1.2 (a),The agency must Identify and select the accounts with access to FTI to support agency missions/business functions
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (b),9.3.1.2 (b),The agency must Assign account managers for information system accounts
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (c),9.3.1.2 (c),The agency must Establish conditions for group and role membership
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (d),9.3.1.2 (d),"The agency must Specify authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account "
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (e),9.3.1.2 (e),The agency must Require approval for requests to create information system accounts
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (f),9.3.1.2 (f),"The agency must Create, enable, modify, disable, and remove information system accounts in accordance with documented agency account management procedures"
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (g),9.3.1.2 (g),The agency must Monitor the use of information system accounts
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (h),9.3.1.2 (h),"The agency must Notify account managers when accounts are no longer required, when users are terminated or transferred, or when individual information system usage or need- to-know permission changes "
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (i),9.3.1.2 (i),"The agency must Authorize access to information systems that receive, process, store, or transmit FTI based on a valid access authorization, need-to-know permission, and under the authority to re-disclosed FTI under the provisions of IRC 6103 "
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (j),9.3.1.2 (j),The agency must Review accounts for compliance with account management requirements at a minimum of annually for user accounts and semi-annually for privileged accounts
9.3.1,Access Control,,9.3.1.2,Account Management (AC-2),,9.3.1.2 (k),9.3.1.2 (k),The agency must Establish a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.
9.3.1,Access Control,,9.3.1.3,Access Enforcement (AC-3),,9.3.1.3 (a),9.3.1.3 (a),The information system must enforce Approved authorizations for logical access to information and system resources in accordance with applicable access control policies
9.3.1,Access Control,,9.3.1.3,Access Enforcement (AC-3),,9.3.1.3 (b),9.3.1.3 (b),"The information system must enforce A role-based access control policy over defined subjects and objects and controls access to FTI based upon a valid access authorization, intended system usage, and the authority to be disclosed FTI under the provisions of IRC 6103"
9.3.1,Access Control,,9.3.1.4,Information Flow Enforcement (AC-4),,9.3.1.4,9.3.1.4,The information system must enforce approved authorizations for controlling the flow of FTI within the system and between interconnected systems based on the technical safeguards in place to protect the FTI.
