GDPR Id,Chapter #,Chapter Name,Section #,Section Name,Article #,Article Paragraph,Article Name,Article Description,GDPR Best Practice,Mandatory,System Question,Organization Question
101,1,General Provisions,,,1,,Subject matter and objectives,Is there a mechanism that identifies GDPR data in each system?,"An asset inventory system is an automated approach to meet this requirement. If you don't have one, excel can be used.",No,No,Yes
102,1,General Provisions,,,2,,Material scope,Is there a mechanism for identifying which systems are processing personal data wholly or partly by automated means?,,Yes,Yes,No
103,1,General Provisions,,,3,,Territorial scope,Is there a mechanism in place for identifying systems that process personal data for people in the European Union whether is it processed in the EU or elsewhere?,,Yes,Yes,No
104,1,General Provisions,,,4,,Definitions,N/A.,,No,No,No
105,2,Principles,,,5,,Principles relating to personal data processing,"Is there a mechanism in place that ensures personal data is  processed lawfully, fairly and transparently?
Is collected for specified, explicit and legitimate purposes only?
Is adequate, relevant and limited?
Is accurate?
Is kept no longer than needed?
Is the system is measured to ensure it is processed securely to in terms of integrity and confidentiality?",,Yes,Yes,Yes
2106,2,Principles,,,5,a,Principles relating to personal data processing,"Is there a mechanism in place that ensures personal data is  processed lawfully, fairly and transparently?",,,,
2107,2,Principles,,,5,b,Principles relating to personal data processing,"Is collected for specified, explicit and legitimate purposes only?",,,,
2108,2,Principles,,,5,c,Principles relating to personal data processing,"Is adequate, relevant and limited?",,,,
2109,2,Principles,,,5,d,Principles relating to personal data processing,Is accurate?,,,,
2110,2,Principles,,,5,e,Principles relating to personal data processing,Is kept no longer than needed?,,,,
2111,2,Principles,,,5,f,Principles relating to personal data processing,Is the system is measured to ensure it is processed securely to in terms of integrity and confidentiality?,,,,
106,2,Principles,,,6,,Lawfulness of processing,,,Yes,Yes,Yes
107,2,Principles,,,6,a,Lawfulness of processing,Is there a mechanism in place to ensure that the stated purpose is clear? And there is consent to process?,,No,No,Yes
108,2,Principles,,,6,b,Lawfulness of processing,it is required by a contract?,,No,No,Yes
109,2,Principles,,,6,c,Lawfulness of processing,It is this necessary for other compliance reasons?,,No,No,Yes
110,2,Principles,,,6,d,Lawfulness of processing,It is necessary to protect someone's vital interests?,,No,No,Yes
111,2,Principles,,,6,e,Lawfulness of processing,It is required for public interest or an official authority?,,No,No,Yes
112,2,Principles,,,6,f,Lawfulness of processing,It is limited due to the subject is a child?,,No,No,Yes
113,2,Principles,,,7,,Conditions for consent,Is there a mechanism to verify the data subject's consent was freely given and they can withdraw it easily at any time? ,,No,No,Yes
114,2,Principles,,,8,,Conditions applicable to child s consent in relation to information society services,Is there a mechanism that allows for special restrictions apply to consent by/for children?,,No,No,Yes
115,2,Principles,,,9,,Processing of special categories of personal data,"Has consent been given sensitive data processing in regards to a person's race, political opinions, religion, sexuality, genetic info and other biometrics?",,No,No,Yes
116,2,Principles,,,10,,Processing of data relating to criminal convictions and offences,Is there a mechanism for specific circumstances relating to criminal convictions and offenses?,,Yes,Yes,No
117,2,Principles,,,11,,Processing which does not require identification,Is there a mechanism in place to not know the identity of the person?,,Yes,Yes,No
118,3,Rights of the Data Subject,1,Transparency and Modalities,12,,"Transparent information, communication and modalities for the exercise of the rights of the data subject","Is there a mechanism in place for communications with data subjects that ensures they are transparent, clear and easily understood?",,Yes,No,Yes
