Constant,Scope,Value,Default Value
ASSESSMENT_FINDINGS$ASSESSMENT_FINDING,UI,Risk Registry,Risk Registry
ASSESSMENT_FINDINGS$CREATE_FINDING,UI,Create risk registry,Create risk registry
ASSESSMENT_FINDINGS$EDIT_FINDING,UI,Edit risk registry,Edit risk registry
ASSESSMENT_FINDINGS$LINK_TYPE,UI,Link type,Link type
ASSESSMENT_FINDINGS$TITLE,UI,Assessment Findings,Assessment Findings
ASSESSMENTS$ASSESSMENT,UI,Assessment,Assessment
ASSESSMENTS$ASSESSMENT_LEVEL,UI,Assessment Level Name,Assessment Level Name
ASSESSMENTS$ASSESSMENT_WEIGHT,UI,% Compliant,% Compliant
ASSESSMENTS$ASSESSMENT_WEIGHTS,UI,Assessment weights,Assessment weights
ASSESSMENTS$CREATE_ASSESSMENT,UI,Create assessment,Create assessment
ASSESSMENTS$EDIT_ASSESSMENT,UI,Edit assessment,Edit assessment
ASSESSMENTS$TITLE,UI,Assessments,Assessments
ASSESSMENTS$TYPE_HEADER,UI,Type,Type
ASSET_CLASSES$ASSET_CLASS,UI,Asset Class,Asset Class
ASSET_CLASSES$CREATE_CLASS,UI,Create Asset Class,Create Asset Class
ASSET_CLASSES$EDIT_CLASS,UI,Edit Asset Class,Edit Asset Class
ASSET_CLASSES$TITLE,UI,Asset Classes,Asset Classes
ASSOCIATE_MODELS$ASSOCIATE_MODEL,UI,Associate Model,Associate Model
ASSOCIATE_MODELS$CREATE_MODEL,UI,Create Associate Model,Create Associate Model
ASSOCIATE_MODELS$EDIT_MODEL,UI,Edit Associate Model,Edit Associate Model
ASSOCIATE_MODELS$TITLE,UI,Associate Models,Associate Models
ASSOCIATE_SYSTEMS$ASSOCIATE_SYSTEM,UI,Associate System,Associate System
ASSOCIATE_SYSTEMS$CREATE_SYSTEM,UI,Create Associate System,Create Associate System
ASSOCIATE_SYSTEMS$EDIT_SYSTEM,UI,Edit Associate System,Edit Associate System
ASSOCIATE_SYSTEMS$TITLE,UI,Associate Systems,Associate Systems
ASSOCIATE_SYSTEMS$VENDOR_ID_REQUIRED,UI,Vendor Id Is Required,Vendor Id Is Required
AUDIT$AUDIT,SERVER,Audit,Audit
AUDIT_LOGS$AUDITOR_EMAIL,UI,Auditor email:,Auditor email:
AUDIT_LOGS$AUDITOR_NAME,UI,Auditor name:,Auditor name:
AUDIT_LOGS$CHANGED_ITEM,UI,"changed item ","changed item "
AUDIT_LOGS$DATE_FROM,UI,Date from,Date from
AUDIT_LOGS$DATE_RANGE,UI,Date range,Date range
AUDIT_LOGS$DATE_TO,UI,Date to,Date to
AUDIT_LOGS$DETAILS,UI,Audit log details,Audit log details
AUDIT_LOGS$DIFF,UI,Diff,Diff
AUDIT_LOGS$FROM,UI,from,from
AUDIT_LOGS$IN_ORGANIZATION,UI,in organization,in organization
AUDIT_LOGS$ITEM_TYPE,UI,Item type,Item type
AUDIT_LOGS$ITEM_TYPE_COLON,UI,Item type:,Item type:
AUDIT_LOGS$MODIFIED_ITEMS,UI,Modified items,Modified items
AUDIT_LOGS$NEW_VALUE,UI,New value,New value
AUDIT_LOGS$OLD_VALUE,UI,Old value,Old value
AUDIT_LOGS$OPERATION_TYPE,UI,Operation type,Operation type
AUDIT_LOGS$OPERATION_TYPE_COLON,UI,Operation type:,Operation type:
AUDIT_LOGS$PROPERTY,UI,Property,Property
AUDIT_LOGS$START_SEARCH,UI,change something,change something
AUDIT_LOGS$TILL,UI,till,till
AUDIT_LOGS$TITLE,UI,Audit Logs,Audit Logs
AUDIT_LOGS$UPDATED_DATE,UI,Updated date,Updated date
AUDIT_LOGS$UPDATED_DATE_COLON,UI,Updated date:,Updated date:
AUTHORIZATION$CHANGE_PASSWORD,UI,Change Password,Change Password
AUTHORIZATION$EMAIL_CONFIRMATION,UI,Email Confirmation,Email Confirmation
AUTHORIZATION$FORGOT_PASSWORD,UI,Forgot password,Forgot password
AUTHORIZATION$LOGIN,UI,Login,Login
AUTHORIZATION$MFA_NOTIFICATION,UI,Security code has been sent to you. Please enter code and try again,Security code has been sent to you. Please enter code and try again
AUTHORIZATION$SIGN_IN,UI,Sign In,Sign In
AUTHORIZATION$SIGN_OUT,UI,Sign Out,Sign Out
AUTHORIZATION$SIGN_UP,UI,Sign Up,Sign Up
BUSINESS_INTERRUPTION$CREATE_INTERRUPTION,UI,Create Interruption,Create Interruption
BUSINESS_INTERRUPTION$EDIT_INTERRUPTION,UI,Edit Interruption,Edit Interruption
BUSINESS_INTERRUPTION$TITLE,UI,Business Interruption,Business Interruption
BUSINESS_UNITS$BUSINESS_UNIT,UI,Business Unit Path,Business Unit Path
BUSINESS_UNITS$BUSINESS_UNIT_COLON,UI,Business Unit:,Business Unit:
BUSINESS_UNITS$BUSINESS_UNIT_REQUIRED,UI,Business Unit Is Required,Business Unit Is Required
BUSINESS_UNITS$CONTACT_EMAIL,UI,Contact email,Contact email
BUSINESS_UNITS$CREATE_UNIT,UI,Create Unit,Create Unit
BUSINESS_UNITS$DESCRIPTION,UI,Business unit description,Business unit description
BUSINESS_UNITS$EDIT_UNIT,UI,Edit Unit,Edit Unit
BUSINESS_UNITS$INFOSEC_FOCAL_PERSON,UI,Infosec Focal Person,Infosec Focal Person
BUSINESS_UNITS$INFOSEC_FOCAL_PERSON_EMAIL,UI,InfoSec Focal Person email,InfoSec Focal Person email
BUSINESS_UNITS$NAME,UI,Business unit name,Business unit name
BUSINESS_UNITS$OWNED_PROCESSES,UI,Processes Owned,Processes Owned
BUSINESS_UNITS$PARENT_UNIT,UI,Parent Business Unit,Parent Business Unit
BUSINESS_UNITS$SCHEME,UI,Business Units Scheme,Business Units Scheme
BUSINESS_UNITS$TITLE,UI,Business Units,Business Units
BUSINESS_UNITS$USED_PROCESSES,UI,Processes Used,Processes Used
CATEGORIES$CATEGORY,UI,Category,Category
CATEGORIES$CREATE_CATEGORY,UI,Create category,Create category
CATEGORIES$EDIT_CATEGORY,UI,Edit category,Edit category
CATEGORIES$RISK_TYPES,UI,Risk Types,Risk Types
CATEGORIES$RISK_TYPES_REQUIRED,UI,At least one type should be defined,At least one type should be defined
CATEGORIES$TITLE,UI,Categories,Categories
CHANGE_PASSWORD$CONFIRM_PASSWORD,UI,Confirm password,Confirm password
CHANGE_PASSWORD$CONFIRM_PASSWORD_INVALID,UI,Passwords confirmation do not match with password,Passwords confirmation do not match with password
CHANGE_PASSWORD$CONFIRM_PASSWORD_REQUIRED,UI,Password confirmation is required,Password confirmation is required
CHANGE_PASSWORD$INVALID_TOKEN,UI,"The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again.","The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again."
CHANGE_PASSWORD$NEW_PASSWORD,UI,New password,New password
