Constant,Scope,Value,Default Value
AUDIT$AUDIT,SERVER,Audit,Audit
DASHBOARD_COMPONENTS$BUTTON$DOWNLOAD$NAME,SERVER,Download,Download
DASHBOARD_VALUES$YES,SERVER,Yes,Yes
DASHBOARD_VALUES$NO,SERVER,No,No
DASHBOARD_VALUES$ALL,SERVER,All,All
DASHBOARD_VALUES$ALL_REQUIREMENTS_SELECTED,SERVER,All Requirements Selected,All Requirements Selected
DASHBOARD_VALUES$COMPLETE,SERVER,Complete,Complete
DASHBOARD_VALUES$NOT_COMPLETE,SERVER,Not Complete,Not Complete
DASHBOARD_VALUES$NOT_STARTED,SERVER,Not Started,Not Started
DASHBOARD_VALUES$NOT_AVAILABLE,SERVER,N/A,N/A
DASHBOARD_VALUES$NOT_APPLICABLE,SERVER,NOT APPLICABLE,NOT APPLICABLE
DASHBOARD_VALUES$NOT_ANSWERED,SERVER,NOT ANSWERED,NOT ANSWERED
DASHBOARD_VALUES$OWNER,SERVER,OWNER,OWNER
DASHBOARD_VALUES$ASSIGNMENT,SERVER,ASSIGNMENT,ASSIGNMENT
DASHBOARD_VALUES$EXTRAORDINARY_HIGH_EXPOSURE_RECORD_COUNT,SERVER,Extraordinarily High Record Count,Extraordinarily High Record Count
DASHBOARD_VALUES$TOTAL,SERVER,Total:\u0020,Total:\u0020
DASHBOARD_TABS$SET_UP$NAME,SERVER,Set Up Dashboard,Set Up Dashboard
DASHBOARD_TABS$EXECUTIVE$NAME,SERVER,Executive Dashboard,Executive Dashboard
DASHBOARD_TABS$VENDOR_CYBER_RISK_MANAGER$NAME,SERVER,Vendor Cyber Risk Manager,Vendor Cyber Risk Manager
DASHBOARD_TABS$CISO$NAME,SERVER,CISO Dashboard,CISO Dashboard
DASHBOARD_TABS$DPO$NAME,SERVER,DPO Dashboard,DPO Dashboard
DASHBOARDS$MY_ASSIGNMENTS$NAME,SERVER,My Assignments DEFAULT,My Assignments DEFAULT
DASHBOARDS$MY_ASSIGNMENTS$DESCRIPTION,SERVER,"Shows system, vendor and cloud scoring that is completed or needs to be completed by the user","Shows system, vendor and cloud scoring that is completed or needs to be completed by the user"
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$ITEM_NAME,SERVER,Systems,Systems
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$ITEM_NAME,SERVER,System Owner Scores,System Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$OWNERSHIP_HEADER,SERVER,Ownership,Ownership
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$IMPACT_HEADER,SERVER,Impact,Impact
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$LIKELIHOOD_HEADER,SERVER,Likelihood,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,ASSIGNMENT,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$SYSTEM_OWNER$OWNER_OWNERSHIP,SERVER,OWNER,OWNER
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$ITEM_NAME,SERVER,Vendors,Vendors
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$ITEM_NAME,SERVER,Vendor Owner Scores,Vendor Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$OWNERSHIP_HEADER,SERVER,Ownership,Ownership
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$IMPACT_HEADER,SERVER,Impact,Impact
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$LIKELIHOOD_HEADER,SERVER,Likelihood,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,ASSIGNMENT,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$VENDORS$VENDOR_OWNER$OWNER_OWNERSHIP,SERVER,OWNER,OWNER
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$ITEM_NAME,SERVER,Cloud,Cloud
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$ITEM_NAME,SERVER,Cloud Owner Scores,Cloud Owner Scores
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$OWNERSHIP_HEADER,SERVER,Ownership,Ownership
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$IMPACT_HEADER,SERVER,Impact,Impact
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$LIKELIHOOD_HEADER,SERVER,Likelihood,Likelihood
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$ASSIGNMENT_OWNERSHIP,SERVER,ASSIGNMENT,ASSIGNMENT
DASHBOARDS$MY_ASSIGNMENTS$CLOUD$CLOUD_OWNER$OWNER_OWNERSHIP,SERVER,OWNER,OWNER
DASHBOARDS$VENDOR$NAME,SERVER,Vendor Dashboard,Vendor Dashboard
DASHBOARDS$VENDOR$DESCRIPTION,SERVER,Displays the vendor exposures and scores,Displays the vendor exposures and scores
DASHBOARDS$VENDOR$CYBER_RISK$ITEM_NAME,SERVER,Cyber Risk Scores,Cyber Risk Scores
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$ITEM_NAME,SERVER,Vendor Cyber Risk Scoring Summary,Vendor Cyber Risk Scoring Summary
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$X_AXIS,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$Y_AXIS,SERVER,Score,Score
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SUMMARY$THRESHOLD,SERVER,Cyber Risk Threshold,Cyber Risk Threshold
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$ITEM_NAME,SERVER,Vendor Cyber Risk Scores,Vendor Cyber Risk Scores
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$SCORE_HEADER,SERVER,Score,Score
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$IMPACT_WEIGHT_HEADER,SERVER,Impact Weight,Impact Weight
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$IMPACT_TOTAL_HEADER,SERVER,Impact Total,Impact Total
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$LIKELIHOOD_WEIGHT_HEADER,SERVER,Likelihood Weight,Likelihood Weight
DASHBOARDS$VENDOR$CYBER_RISK$CYBER_RISK_SCORES$LIKELIHOOD_TOTAL_HEADER,SERVER,Likelihood Total,Likelihood Total
DASHBOARDS$VENDOR$CYBER_EXPOSURES$ITEM_NAME,SERVER,Cyber Exposures,Cyber Exposures
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$ITEM_NAME,SERVER,Vendor Exposures,Vendor Exposures
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$VENDOR_TYPE_HEADER,SERVER,Vendor Type,Vendor Type
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$DATA_EXFILTRATION_HEADER,SERVER,Data Exfiltration,Data Exfiltration
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$BUSINESS_INTERRUPTION_HEADER,SERVER,Business Interruption,Business Interruption
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$GDRP_REGULATORY_EXPOSURE_HEADER,SERVER,GDPR Regulatory Exposure,GDPR Regulatory Exposure
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$TOTAL_EXPOSURE_HEADER,SERVER,Total Exposure,Total Exposure
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$CLOUD_VENDOR_TYPE,SERVER,Cloud Vendor,Cloud Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$SERVICE_VENDOR_TYPE,SERVER,Service Vendor,Service Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$TECHNOLOGY_VENDOR_TYPE,SERVER,Technology Vendor,Technology Vendor
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$SYSTEM_VENDOR_TYPE,SERVER,System Vendor,System Vendor
DASHBOARDS$VENDOR$HEAT_MAP$ITEM_NAME,SERVER,Heat Map,Heat Map
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$ITEM_NAME,SERVER,Vendor Heat Map,Vendor Heat Map
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$X_AXIS,SERVER,Likelihood,Likelihood
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$Y_AXIS,SERVER,Impact,Impact
DASHBOARDS$VENDOR$HEAT_MATRIX$ITEM_NAME,SERVER,Heat Matrix,Heat Matrix
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$ITEM_NAME,SERVER,Vendor Heat Matrix,Vendor Heat Matrix
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_NONE_HEADER,SERVER,None,None
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_MINOR_HEADER,SERVER,Minor,Minor
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_CRUCIAL_HEADER,SERVER,Crucial,Crucial
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_CRITICAL_HEADER,SERVER,Critical,Critical
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_DISASTROUS_HEADER,SERVER,Disastrous,Disastrous
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_IMPROBABLE_HEADER,SERVER,Improbable,Improbable
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_SELDOM_HEADER,SERVER,Seldom,Seldom
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_OCCASIONAL_HEADER,SERVER,Occasional,Occasional
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_LIKELY_HEADER,SERVER,Likely,Likely
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_FREQUENT_HEADER,SERVER,Frequent,Frequent
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$VENDOR_CYBER_RISK_HEADER,SERVER,Vendor Cyber Risk,Vendor Cyber Risk
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$LIKELIHOOD_HEADER,SERVER,Likelihood,Likelihood
DASHBOARDS$VENDOR$HEAT_MATRIX$HEAT_MATRIX_TABLE$IMPACT_HEADER,SERVER,Impact,Impact
DASHBOARDS$VENDOR$IMPACT$ITEM_NAME,SERVER,Impact Scores,Impact Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$ITEM_NAME,SERVER,Impact Vendor Scores,Impact Vendor Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$X_AXIS,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$Y_AXIS,SERVER,Score,Score
DASHBOARDS$VENDOR$IMPACT$IMPACT_CHART$THRESHOLD,SERVER,Impact Threshold,Impact Threshold
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$ITEM_NAME,SERVER,Impact Vendor Scores,Impact Vendor Scores
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$SCORE_HEADER,SERVER,Score,Score
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$WEIGHT_HEADER,SERVER,Weight,Weight
DASHBOARDS$VENDOR$IMPACT$IMPACT_GRID$TOTAL_WEIGHT_HEADER,SERVER,Total Weight,Total Weight
DASHBOARDS$VENDOR$LIKELIHOOD$ITEM_NAME,SERVER,Likelihood Scores,Likelihood Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$ITEM_NAME,SERVER,Likelihood Vendor Scores,Likelihood Vendor Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$X_AXIS,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$Y_AXIS,SERVER,Score,Score
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_CHART$THRESHOLD,SERVER,Likelihood Threshold,Likelihood Threshold
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$ITEM_NAME,SERVER,Likelihood Vendor Scores,Likelihood Vendor Scores
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$VENDOR_HEADER,SERVER,Vendor,Vendor
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$SCORE_HEADER,SERVER,Score,Score
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$WEIGHT_HEADER,SERVER,Weight,Weight
DASHBOARDS$VENDOR$LIKELIHOOD$LIKELIHOOD_GRID$TOTAL_WEIGHT_HEADER,SERVER,Total Weight,Total Weight
DASHBOARDS$VENDOR_STATUS$NAME,SERVER,Vendor Status,Vendor Status
DASHBOARDS$VENDOR_STATUS$DESCRIPTION,SERVER,Vendor Status Dashboard,Vendor Status Dashboard
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$ITEM_NAME,SERVER,Vendor Types,Vendor Types
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$ITEM_DESCRIPTION,SERVER,Displays all the vendors by type and owner,Displays all the vendors by type and owner
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$ITEM_NAME,SERVER,Vendor Statuses,Vendor Statuses
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$PERSON_HEADER,SERVER,Person,Person
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$VENDOR_NAME_HEADER,SERVER,Vendor Name,Vendor Name
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$CLOUD_HEADER,SERVER,Cloud,Cloud
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$BUSINESS_UNIT_HEADER,SERVER,Business Unit,Business Unit
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$TECHNOLOGY_HEADER,SERVER,Is Technology?,Is Technology?
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$SYSTEM_HEADER,SERVER,Is System?,Is System?
DASHBOARDS$VENDOR_STATUS$VENDOR_STATUS$VENDOR_STATUSES$SERVICE_HEADER,SERVER,Is Service?,Is Service?
DASHBOARDS$VENDOR_SELF_ASSESSMENT$NAME,SERVER,Vendor Self Assessment,Vendor Self Assessment
DASHBOARDS$VENDOR_SELF_ASSESSMENT$DESCRIPTION,SERVER,Displays the vendors questionnaire results,Displays the vendors questionnaire results
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SERVICE_PROVIDER$ITEM_NAME,SERVER,Service Provider,Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SERVICE_PROVIDER$ITEM_DESCRIPTION,SERVER,Service Provider,Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SYSTEM_TECHNOLOGY_PROVIDER$ITEM_NAME,SERVER,System/Technology Provider,System/Technology Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$SYSTEM_TECHNOLOGY_PROVIDER$ITEM_DESCRIPTION,SERVER,System/Technology Provider,System/Technology Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$CLOUD_SERVICE_PROVIDER$ITEM_NAME,SERVER,Cloud Service Provider,Cloud Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$CLOUD_SERVICE_PROVIDER$ITEM_DESCRIPTION,SERVER,Cloud Service Provider,Cloud Service Provider
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$ITEM_NAME,SERVER,Total Score,Total Score
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$QUESTION_HEADER,SERVER,Question,Question
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$MARK_HEADER,SERVER,A,A
DASHBOARDS$VENDOR_SELF_ASSESSMENT$TOTAL_SCORE$SCORE_HEADER,SERVER,Score,Score
DASHBOARDS$CYBER_INSURANCE$NAME,SERVER,Cyber Insurance,Cyber Insurance
DASHBOARDS$CYBER_INSURANCE$DESCRIPTION,SERVER,Displays aggregate limits and sublimits. Identifies extraordinary exposures,Displays aggregate limits and sublimits. Identifies extraordinary exposures
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$ITEM_NAME,SERVER,Aggregate Limit,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$TABLE$AGGREGATE_LIMIT_HEADER,SERVER,Aggregate Limit,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$ITEM_NAME,SERVER,Aggregate Limit,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$RECORD_COUNT_HEADER,SERVER,Record Count,Record Count
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$DATA_EXFILTRATION_HEADER,SERVER,Data Exfiltration,Data Exfiltration
DASHBOARDS$CYBER_INSURANCE$AGGREGATE_LIMIT$GRID$AGGREGATE_LIMIT_HEADER,SERVER,Aggregate Limit,Aggregate Limit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$ITEM_NAME,SERVER,Business Interruption Sublimit,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$TABLE$BUSINESS_INTERRUPTION_HEADER,SERVER,Business Interruption Sublimit,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$ITEM_NAME,SERVER,Business Interruption Sublimit,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$CYBER_INSURANCE$BUSINESS_INTERRUPTION$GRID$BUSINESS_INTERRUPTION_HEADER,SERVER,Business Interruption Sublimit,Business Interruption Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$ITEM_NAME,SERVER,Cyber Extortion Sublimit,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$TABLE$CYBER_EXTORTION_HEADER,SERVER,Cyber Extortion Sublimit,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$ITEM_NAME,SERVER,Cyber Extortion Sublimit,Cyber Extortion Sublimit
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$CYBER_INSURANCE$CYBER_EXTORTION$GRID$RANSOMWARE_HEADER,SERVER,Ransomware,Ransomware
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$ITEM_NAME,SERVER,GDPR Sub-limit,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$TABLE$GDPR_PRIVACY_HEADER,SERVER,GDPR Sub-limit,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$ITEM_NAME,SERVER,GDPR Sub-limit,GDPR Sub-limit
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$CYBER_INSURANCE$GDPR_PRIVACY$GRID$GDPR_REGULATORY_LOSS_HEADER,SERVER,GDPR Regulatory Loss,GDPR Regulatory Loss
DASHBOARDS$CYBER_INSURANCE$PRIVACY$ITEM_NAME,SERVER,Privacy Sub-limit,Privacy Sub-limit
DASHBOARDS$CYBER_INSURANCE$PRIVACY$TABLE$GDPR_PRIVACY_HEADER,SERVER,Privacy Sub-limit,Privacy Sub-limit
