Constant,Scope,Value,Default Value
AUDIT$AUDIT,SERVER,Аудит,Audit
DASHBOARD_COMPONENTS$BUTTON$DOWNLOAD$NAME,SERVER,Скачать,Download
DASHBOARD_VALUES$YES,SERVER,Да,Yes
DASHBOARD_VALUES$NO,SERVER,Нет,No
DASHBOARD_VALUES$ALL,SERVER,Все,All
DASHBOARD_VALUES$ALL_REQUIREMENTS_SELECTED,SERVER,Выбраны Все Требования,All Requirements Selected
DASHBOARD_VALUES$COMPLETE,SERVER,Завершено,Complete
DASHBOARD_VALUES$NOT_COMPLETE,SERVER,Не Завершено,Not Complete
DASHBOARD_VALUES$NOT_STARTED,SERVER,Не Начато,Not Started
DASHBOARD_VALUES$NOT_AVAILABLE,SERVER,Н/П,N/A
DASHBOARD_VALUES$NOT_APPLICABLE,SERVER,НЕ ПРИМЕНИМО,NOT APPLICABLE
DASHBOARD_VALUES$NOT_ANSWERED,SERVER,НЕ ОТВЕЧЕНО,NOT ANSWERED
DASHBOARD_VALUES$OWNER,SERVER,ВЛАДЕЛЕЦ,OWNER
DASHBOARD_VALUES$ASSIGNMENT,SERVER,НАЗНАЧЕНИЕ,ASSIGNMENT
DASHBOARD_VALUES$EXTRAORDINARY_HIGH_EXPOSURE_RECORD_COUNT,SERVER,Чрезвычайно Высокое Количество Записей,Extraordinarily High Record Count
DASHBOARD_VALUES$TOTAL,SERVER,Суммарно:\u0020,Total:\u0020
DASHBOARD_TABS$SET_UP$NAME,SERVER,Настроить Дашборд,Set Up Dashboard
DASHBOARD_TABS$EXECUTIVE$NAME,SERVER,Исполнимый Дашборд,Executive Dashboard
DASHBOARD_TABS$VENDOR_CYBER_RISK_MANAGER$NAME,SERVER,Менеджер по киберрискам вендора,Vendor Cyber Risk Manager
DASHBOARD_TABS$CISO$NAME,SERVER,CISO Дашборд,CISO Dashboard
DASHBOARD_TABS$DPO$NAME,SERVER,DPO Дашборд,DPO Dashboard
DASHBOARDS$MY_ASSIGNMENTS$NAME,SERVER,Мои Задания,My Assignments
DASHBOARDS$MY_ASSIGNMENTS$DESCRIPTION,SERVER,"Показывает оценки систем, вендоров и облак, которые завершены или должны быть завершены пользователем","Shows system, vendor and cloud scoring that is completed or needs to be completed by the user"
DASHBOARDS$MY_ASSIGNMENTS$SYSTEMS$ITEM_NAME,SERVER,Системы,Systems
