Constant,Scope,Value,Default Value
ASSESSMENT_FINDINGS$ASSESSMENT_FINDING,UI,"Реестр рисков","Risk registry"
ASSESSMENT_FINDINGS$CREATE_FINDING,UI,"Создать реестр рисков","Create risk registry"
ASSESSMENT_FINDINGS$EDIT_FINDING,UI,"Редактировать реестр рисков","Edit risk registry"
ASSESSMENT_FINDINGS$LINK_TYPE,UI,Тип связи,Link type
ASSESSMENT_FINDINGS$TITLE,UI,"Реестр рисков","Risk registry"
ASSESSMENTS$ASSESSMENT,UI,Оценка,Assessment
ASSESSMENTS$ASSESSMENT_LEVEL,UI,Уровень оценки,Assessment level
ASSESSMENTS$ASSESSMENT_WEIGHT,UI,"Вес оценки, %","Assessment weight, %"
ASSESSMENTS$ASSESSMENT_WEIGHTS,UI,Веса оценки,Assessment weights
ASSESSMENTS$CREATE_ASSESSMENT,UI,Создать оценку,Create assessment
ASSESSMENTS$EDIT_ASSESSMENT,UI,Редактировать оценку,Edit assessment
ASSESSMENTS$TITLE,UI,Оценки,Assessments
ASSESSMENTS$TYPE_HEADER,UI,Тип,Type
ASSET_CLASSES$ASSET_CLASS,UI,Класс активов,Asset class
ASSET_CLASSES$CREATE_CLASS,UI,Создать класс активов,Create asset class
ASSET_CLASSES$EDIT_CLASS,UI,Редактировать класс активов,Edit asset class
ASSET_CLASSES$TITLE,UI,Классы активов,Asset classes
ASSOCIATE_MODELS$ASSOCIATE_MODEL,UI,Связанная модель,Associate model
ASSOCIATE_MODELS$CREATE_MODEL,UI,Создать связанную модель,Create associate model
ASSOCIATE_MODELS$EDIT_MODEL,UI,Редактировать связанную модель,Edit associate model
ASSOCIATE_MODELS$TITLE,UI,Связанные модели,Associate models
ASSOCIATE_SYSTEMS$ASSOCIATE_SYSTEM,UI,Связанная система,Associate system
ASSOCIATE_SYSTEMS$CREATE_SYSTEM,UI,Создать связанную систему,Create associate system
ASSOCIATE_SYSTEMS$EDIT_SYSTEM,UI,Редактировать связанную систему,Edit associate system
ASSOCIATE_SYSTEMS$TITLE,UI,Связанные системы,Associate systems
ASSOCIATE_SYSTEMS$VENDOR_ID_REQUIRED,UI,'Идетификатор вендора' обязателен,Vendor id is required
AUDIT_LOGS$AUDITOR_EMAIL,UI,Электронная почта аудитора:,Auditor email:
AUDIT_LOGS$AUDITOR_NAME,UI,Имя аудитора:,Auditor name:
AUDIT_LOGS$CHANGED_ITEM,UI,измененный объект,changed item
AUDIT_LOGS$DATE_FROM,UI,Период с,Date from
AUDIT_LOGS$DATE_RANGE,UI,Диапазон дат,Date range
AUDIT_LOGS$DATE_TO,UI,Период по,Date to
AUDIT_LOGS$DETAILS,UI,Лог,Audit log details
AUDIT_LOGS$DIFF,UI,Изменения,Diff
AUDIT_LOGS$FROM,UI,с,from
AUDIT_LOGS$IN_ORGANIZATION,UI,в организации,in organization
AUDIT_LOGS$ITEM_TYPE,UI,Тип объекта,Item type
AUDIT_LOGS$ITEM_TYPE_COLON,UI,Тип объекта:,Item type:
AUDIT_LOGS$MODIFIED_ITEMS,UI,Изменненые объекты,Modified items
AUDIT_LOGS$NEW_VALUE,UI,Новое значение,New value
AUDIT_LOGS$OLD_VALUE,UI,Старое значение,Old value
AUDIT_LOGS$OPERATION_TYPE,UI,Тип операции,Operation type
AUDIT_LOGS$OPERATION_TYPE_COLON,UI,Тип операции:,Operation type:
AUDIT_LOGS$PROPERTY,UI,Свойство,Property
AUDIT_LOGS$START_SEARCH,UI,начните поиск,change something
AUDIT_LOGS$TILL,UI,до,till
AUDIT_LOGS$TITLE,UI,Журнал аудита,Audit logs
AUDIT_LOGS$UPDATED_DATE,UI,Дата обновления,Updated date
AUDIT_LOGS$UPDATED_DATE_COLON,UI,Дата обновления:,Updated date:
AUTHORIZATION$CHANGE_PASSWORD,UI,Изменить пароль,Change password
AUTHORIZATION$EMAIL_CONFIRMATION,UI,Подтверждение электонной почты,Email Confirmation
AUTHORIZATION$FORGOT_PASSWORD,UI,Забыли пароль,Forgot password
AUTHORIZATION$LOGIN,UI,Войти,Login
AUTHORIZATION$MFA_NOTIFICATION,UI,"Вам был отправлен код безопасности. Пожалуйста, введите код и попробуйте снова",Security code has been sent to you. Please enter code and try again
AUTHORIZATION$SIGN_IN,UI,Войти в систему,Sign in
AUTHORIZATION$SIGN_OUT,UI,Выйти,Sign out
AUTHORIZATION$SIGN_UP,UI,Зарегистрироваться,Sign up
BUSINESS_INTERRUPTION$TITLE,UI,Прерывания бизнеса,Business interruption
BUSINESS_UNITS$BUSINESS_UNIT,UI,Бизнес-единица,Business unit
BUSINESS_UNITS$BUSINESS_UNIT_COLON,UI,Бизнес-единица:,Business unit:
BUSINESS_UNITS$BUSINESS_UNIT_REQUIRED,UI,'Бизнес-единица' обязательна,Business unit is required
BUSINESS_UNITS$CREATE_UNIT,UI,Создать бизнес-единицу,Create unit
BUSINESS_UNITS$EDIT_UNIT,UI,Редактировать бизнес-единицу,Edit unit
BUSINESS_UNITS$INFOSEC_FOCAL_PERSON,UI,Контактное лицо по информационной безопасности,Infosec Focal Person
BUSINESS_UNITS$OWNED_PROCESSES,UI,Собственные процессы,Owned Processes
BUSINESS_UNITS$PARENT_UNIT,UI,Родительская единица,Parent unit
BUSINESS_UNITS$TITLE,UI,Бизнес-единицы,Business units
BUSINESS_UNITS$USED_PROCESSES,UI,Используемые процессы,Used Processes
CATEGORIES$CATEGORY,UI,Категория,Category
CATEGORIES$CREATE_CATEGORY,UI,Создать категорию,Create category
CATEGORIES$EDIT_CATEGORY,UI,Редактировать категорию,Edit category
CATEGORIES$RISK_TYPES,UI,Типы рисков,Risk types
CATEGORIES$RISK_TYPES_REQUIRED,UI,По крайней мере один тип должен быть определен,At least one type should be defined
CATEGORIES$TITLE,UI,Категории,Categories
CHANGE_PASSWORD$CONFIRM_PASSWORD,UI,Подтверждение пароля,Confirm password
CHANGE_PASSWORD$CONFIRM_PASSWORD_INVALID,UI,Пароль и его подтверждение не совпадают,Passwords confirmation do not match with password
CHANGE_PASSWORD$CONFIRM_PASSWORD_REQUIRED,UI,'Подтверждение пароля' обязательно,Password confirmation is required
CHANGE_PASSWORD$INVALID_TOKEN,UI,"Токен запроса для этой страницы недействителен. Возможно, он уже использовался или срок его действия истек, поскольку он устарел. Пожалуйста, вернитесь на страницу 'Забыли пароль' и повторите попытку.","The request token for this page is invalid. It may have already been used, or expired because it is too old.Please go back to the forgot password page and try again."
CHANGE_PASSWORD$NEW_PASSWORD,UI,Новый пароль,New password
CHANGE_PASSWORD$NEW_PASSWORD_HELP_TEXT,UI,"Пароль должен быть длиной не менее 8 символов и содержать как минимум одну строчную букву, одну заглавную букву, одну цифру и один спецсимвол","Passwords must be at least 8 characters long and contain at least one lowercase letter, one uppercase letter, one numeric digit, and one special character"
CHANGE_PASSWORD$NEW_PASSWORD_INVALID,UI,Невалидный пароль,Invalid password
CHANGE_PASSWORD$OLD_PASSWORD,UI,Старый пароль,Old password
CHANGE_PASSWORD$OLD_PASSWORD_REQUIRED,UI,'Пароль' обязателен,Old password is required
CHANGE_PASSWORD$SUCCESS_MESSAGE,UI,Ваш пароль был успешно изменен,Your password has been successfully changed
CLOUD_SCORING$TITLE,UI,Скоринг облачных вендоров,Cloud scoring
CONTROL_FUNCTIONS$CONTROL_FUNCTION,UI,Контрольная функция,Control function
CONTROL_FUNCTIONS$CONTROL_FUNCTION_REQUIRED,UI,'Контрольная функция' обязательна,Control function is required
CONTROL_FUNCTIONS$CREATE_FUNCTION,UI,Создать контрольную функцию,Create control function
CONTROL_FUNCTIONS$EDIT_FUNCTION,UI,Редактировать контрольную функцию,Edit control function
CONTROL_FUNCTIONS$TITLE,UI,Контрольные функции,Control functions
CONTROL_GUIDELINES$CONTROL_GUIDELINE,UI,Контрольная директива,Control guideline
CONTROL_GUIDELINES$CONTROL_GUIDELINE_REQUIRED,UI,'Контрольная директива' обязательна,Control guideline is required
CONTROL_GUIDELINES$CREATE_GUIDELINE,UI,Создать директиву,Create guideline
CONTROL_GUIDELINES$EDIT_GUIDELINE,UI,Редактировать директиву,Edit guideline
CONTROL_GUIDELINES$TITLE,UI,Контрольные директивы,Control guidelines
CONTROL_TESTS$CONTROL_TEST,UI,Контрольный тест,Control test
CONTROL_TESTS$CONTROL_TEST_REQUIRED,UI,'Контрольный тест' обязателен,Control test is required
CONTROL_TESTS$CREATE_TEST,UI,Создать контрольный тест,Create control test
CONTROL_TESTS$EDIT_TEST,UI,Редактировать контрольный тест,Edit control test
CONTROL_TESTS$TITLE,UI,Контрольные тесты,Control tests
CYBER_RISK_SCORING$TITLE,UI,Скоринг кибер-рисков,Cyber risk scoring
CYBER_ROLES$CREATE_ROLE,UI,Создать кибер-роль,Create cyber role
CYBER_ROLES$CYBER_ROLE,UI,Кибер-роль,Cyber role
CYBER_ROLES$EDIT_ROLE,UI,Редактировать кибер-роль,Edit cyber role
CYBER_ROLES$TITLE,UI,Кибер-роли,Cyber roles
DASHBOARDS_FILTER$PRIVACY_DATA,UI,Приватные данные,Privacy data
DASHBOARDS$SORT_BY,UI,Сортировать по:,Sort by:
DASHBOARDS$TOTAL_EXPOSURE,UI,Общее воздействие:,Total exposure:
DATA_CLASSES$CREATE_CLASS,UI,Создать класс данных,Create data class
DATA_CLASSES$DATA_CLASS,UI,Класс данных,Data class
DATA_CLASSES$EDIT_CLASS,UI,Редактировать класс данных,Edit data class
DATA_CLASSES$TITLE,UI,Классы данных,Data classes
DATA_EXFILTRATION$TITLE,UI,Эксфильтрация данных,Data exfiltration
DOMAINS$DIALOG_TITLE,UI,Добавить домен в риск-модель,Add domain to risk model
DOMAINS$DOMAIN,UI,Домен,Domain
DOMAINS$DOMAIN_REQUIRED,UI,'Домен' обязателен,Domain is required
DOMAINS$MANAGED_BY,UI,Ответственный,Managed by
DOMAINS$NO_AVAILABLE_DOMAINS,UI,Сейчас нет доступных доменов,There is no available domains right now
DOMAINS$TITLE,UI,Домены,Domains
DROPZONE$ALLOWED_SINGLE_CSV,UI,"Разрешена загрузка одного файла с расширением .csv, .xlsx или .xlsm","Allowed the upload of single file with .csv, .xlsx or .xlsm extension"
DROPZONE$DEFAULT_MESSAGE,UI,Нажмите здесь или перенесите файлы для загрузки!,Click here or drop files to upload!
DROPZONE$NO_STATUS,UI,Нет статуса,No status
