Constant,Scope,Value,Default Value,Language
AUDIT$AUDIT,SERVER,Audit,Audit,eng
QUESTION_ROW$QUESTION,UI,Question,Question,eng
QUESTION_ROW$SCORE,UI,Score,Score,eng
SETTINGS$PASSWORD,UI,Password settings,Password settings,eng
SETTINGS$ORGANIZATION,UI,Organization settings,Organization settings,eng
USER_MENU$ACCOUNT_SETTINGS,UI,Account settings,Account settings,eng
USER_MENU$LEARNING_CENTER,UI,Learning Center,Learning Center,eng
USER_MENU$QUICK_START,UI,Quick Start,Quick Start,eng
USER_MENU$KNOWLEDGE_BASE,UI,Knowledge Base,Knowledge Base,eng
USER_MENU$ABOUT,UI,About,About,eng
SYSTEMS$COTS,UI,COTS,COTS,eng
SYSTEMS$HOME_GROWN,UI,Home Grown,Home Grown,eng
SYSTEMS$VERSION_NUMBER,UI,Version number,Version number,eng
GLOBALS$SEARCH_BY_NAME_AND_DESCRIPTION,UI,Search by name and description,Search by name and description,eng
GLOBALS$SEARCH_BY_NAME_AND_TASK_NOTES,UI,Search by name and task notes,Search by name and task notes,eng
GLOBALS$SEARCH_BY_NAME_AND_DOCUMENT_TYPE,UI,Search by name and document type,Search by name and document type,eng
GLOBALS$SEARCH_BY_NAME_AND_EMAIL,UI,Search by name and email,Search by name and email,eng
SUBSIDIARY_ORGANIZATIONS$ORGANIZATION_NAME,UI,Organization name,Organization name,eng
SUBSIDIARY_ORGANIZATIONS$ORGANIZATION_DESCRIPTION,UI,Organization description,Organization description,eng
BUSINESS_UNITS$NAME,UI,Business unit name,Business unit name,eng
BUSINESS_UNITS$DESCRIPTION,UI,Business unit description,Business unit description,eng
SYSTEMS$SYSTEM_NAME,UI,System name,System name,eng
SYSTEMS$SYSTEM_DESCRIPTION,UI,System description,System description,eng
SYSTEMS$SYSTEM_OWNER_NAME,UI,System owner name,System owner name,eng
CONTROL_GUIDELINES$GUIDELINE_CODE,UI,Guideline Code,Guideline Code,eng
CONTROL_GUIDELINES$GUIDELINE_NAME,UI,Guideline Name,Guideline Name,eng
CONTROL_GUIDELINES$GUIDELINE_DESCRIPTION,UI,Guideline Description,Guideline Description,eng
SCORING_QUESTIONS$QUESTION_CODE,UI,Question code,Question code,eng
SCORING_QUESTIONS$QUESTION_NAME,UI,Question name,Question name,eng
SCORING_QUESTIONS$QUESTION_DESCRIPTION,UI,Question description,Question description,eng
SECURITY_ASSESSMENTS$SECURITY_FRAMEWORK,UI,Security framework,Security framework,eng
SECURITY_ASSESSMENTS$SECURITY_FRAMEWORK_DESCRIPTION,UI,Security framework description,Security framework description,eng
SECURITY_REQUIREMENTS$SECURITY_REQUIREMENT_CODE,UI,Security requirement code,Security requirement code,eng
SECURITY_REQUIREMENTS$SECURITY_REQUIREMENT_DESCRIPTION,UI,Security requirement description,Security requirement description,eng
DROPDOWN$TYPE_TO_SEARCH,UI,Start typing to search,Start typing to search,eng
BUSINESS_UNITS$CONTACT_EMAIL,UI,Contact email,Contact email,eng
BUSINESS_UNITS$INFOSEC_FOCAL_PERSON_EMAIL,UI,InfoSec Focal Person email,InfoSec Focal Person email,eng
SUBSIDIARY_ORGANIZATIONS$ANNUAL_REVENUE,UI,Annual revenue,Annual revenue,eng
POLICY_MANAGEMENT$CONTACT_LINKS,UI,Policy management contact links,Policy management contact links,eng
ORGANIZATION$NAMEFIELD,UI,Organization Name,Organization Name,eng
SYSTEMS$TECHNOLOGIES,UI,Technologies,Technologies,eng
DRILLDOWNS$SYSTEM_QUANT$SYSTEM$SUMMARY$REGULATIONS_HEADER,SERVER,Regulations,Regulations,eng
HOME_PAGE$DESCRIPTION,UI,Pin Point your Cyber Risk!,Pin Point your Cyber Risk!,eng
TASK_CATEGORIES$TITLE,UI,Task Categories,Task Categories,eng
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$QUANT_LEVEL,SERVER,Level,Level,eng
DASHBOARDS$PRIVACY$ORGANIZATION_SUMMARY_SCORES$ITEM_DESCRIPTION,DASHBOARD,Summary Scores,Summary Scores,eng
DASHBOARDS$VENDOR$CYBER_EXPOSURES$VENDOR_EXPOSURES$ITEM_DESCRIPTION,DASHBOARD,Vendor Exposures,Vendor Exposures,eng
DASHBOARDS$VENDOR$HEAT_MAP$HEAT_CHART$ITEM_DESCRIPTION,DASHBOARD,Vendor Heat Map,Vendor Heat Map,eng
DASHBOARDS$VENDORS_AND_SYSTEMS$NAME,DASHBOARD,Vendors and Systems,Vendors and Systems,eng
DASHBOARD$DATA_EXFILTRATION$NAME,DASHBOARD,Data Exfiltrations,Data Exfiltrations,eng
DRILLDOWNS$SYSTEM_QUANT$SYSTEM$INSURANCE_QUANTIFICATION$ITEM_NAME,SERVER,Insurance Quantifications,Insurance Quantifications,eng
DASHBOARDS$ADMIN$SYSTEM_OWNER$SYSTEM_VENDOR_HEADER,SERVER,System Vendor,System Vendor,eng
