Permission Group,Permission Title,Permissions/Roles,Description,Url,CYSURANCE
Organization,Read,organization_read,,,Y
Organization,Update,organization_update,,,
Organization,Record Price Limit,organization_record_price_limit,,,
Organization,Aggregate Insurance Limit,organization_aggregate_insurance_limit,,,
Organization,Cyber Insurance Deductible,organization_cyber_insurance_deductible,,,
Organization,Average Revenue,organization_average_revenue,,,
Organization,Market Capitalization,organization_market_capitalization,,,
Organization,Risk Scoring Read,organization_risk_scoring_read,,,
Organization,Supported Languages Update,organization_supported_languages_update,,,
Organization,Cyber Security Maturity Read,cybersecurity_maturity_read,,,
Organization,Cyber Insurance Information,organization_cyber_insurance_information,,,
Subsidiary Organization,Read,subsidiary_read,,,Y
Subsidiary Organization,Create,subsidiary_create,,,
Subsidiary Organization,Update,subsidiary_update,,,
Subsidiary Organization,Delete,subsidiary_delete,,,
Subsidiary Organization,Export CSV,export_subsidiary,,,
Subsidiary Organization,Import from CSV,import_subsidiary,,,
Business Unit,Read,business_unit_read,,,Y
Business Unit,Create,business_unit_create,,,
Business Unit,Update,business_unit_update,,,
Business Unit,Delete,business_unit_delete,,,
Business Unit,Export CSV,export_business_unit,,,
Business Unit,Export CSV Template,export_business_unit_template,,,
Business Unit,Import from CSV,import_business_unit,,,
Asset Class,Read,asset_class_read,,,Y
Asset Class,Create,asset_class_create,,,Y
Asset Class,Update,asset_class_update,,,
Asset Class,Delete,asset_class_delete,,,
Data Class,Read,data_class_read,,,Y
Data Class,Create,data_class_create,,,
Data Class,Update,data_class_update,,,
Data Class,Delete,data_class_delete,,,
Data Domain,Read,data_domain_read,,,Y
Data Domain,Create,data_domain_create,,,
Data Domain,Update,data_domain_update,,,
Data Domain,Delete,data_domain_delete,,,
Data Field,Read,data_field_read,,,Y
Data Field,Create,data_field_create,,,
Data Field,Update,data_field_update,,,
Data Field,Delete,data_field_delete,,,
Environment Type,Read,environment_type_read,,,Y
Environment Type,Create,environment_type_create,,,
Environment Type,Update,environment_type_update,,,
Environment Type,Delete,environment_type_delete,,,
System,Read,system_read,,,Y
System,Create,system_create,,,
System,Update,system_update,,,
System,Delete,system_delete,,,
System,Export CSV,export_system_risk,,,
System,Import from CSV,import_system_risk,,,
Process,Read,process_read,,,Y
Process,Create,process_create,,,
Process,Update,process_update,,,
Process,Delete,process_delete,,,
Process,Export CSV,export_process,,,
Process,Export CSV Template,export_process_template,,,
Process,Import from CSV,import_process,,,
Technology Category,Read,technology_category_read,,,Y
Technology Category,Create,technology_category_create,,,
Technology Category,Update,technology_category_update,,,
Technology Category,Delete,technology_category_delete,,,
Technology,Read,technology_read,,,Y
Technology,Create,technology_create,,,
Technology,Update,technology_update,,,
Technology,Delete,technology_delete,,,
Technology,Export CSV,export_technology,,,
Technology,Export CSV Template,export_technology_template,,,
Technology,Import from CSV,import_technology,,,
Data Gathering,Read Data Exfiltration,data_exfiltration_read,,,Y
Data Gathering,Update Data Exfiltration,data_exfiltration_update,,,Y
Data Gathering,Read Business Interruption,business_interruption_read,,,Y
Data Gathering,Update Business Interruption,business_interruption_update,,,Y
Data Gathering,Read Regulatory Exposure,regulatory_exposure_read,,,
Data Gathering,Update Regulatory Exposure,regulatory_exposure_update,,,
Data Gathering,Read Risk Scoring,risk_scoring_read,,,
Data Gathering,Answer Rick Scoring Questions,risk_scoring_question,,,
Policy,Read,policy_read,,,Y
Policy,Create,policy_create,,,
Policy,Update,policy_update,,,
Policy,Delete,policy_delete,,,
Policy,Annual Review,policy_annual_review,,,
Policy,Approval,policy_approval,,,
Cyber Roles,Read,cyber_role_read,,,
Vendor Contract,Read,contract_read,,,
Cyber Roles,Create,cyber_role_create,,,
Vendor Contract,Create,contract_create,,,
Cyber Roles,Update,cyber_role_update,,,
Vendor Contract,Update,contract_update,,,
Cyber Roles,Delete,cyber_role_delete,,,
Vendor Contract,Delete,contract_delete,,,
Control Functions,Read,nist_csf_category_read,,,
Control Functions,Create,nist_csf_category_create,,,
Control Functions,Update,nist_csf_category_update,,,
Control Functions,Delete,nist_csf_category_delete,,,
Control Tests,Read,control_test_read,,,
Control Tests,Create,control_test_create,,,
